"","layer","mean_elev","median_elev","min_elev","max_elev","quant25","quant75"
"1294",NA,124.086308302002,121.11,103.15,165.36,111.28,136.08
"1295",NA,117.26954420871,114.2,105.41,149.73,109.23,124.685
"1296",NA,129.558487096119,128.84,108.11,181.2,120.4525,137.0675
"1297",NA,134.773818661793,134.54,112.19,187.43,123.89,143.64
"1298",NA,144.873194514982,146.5,116.41,191.06,135.42,155.6
"1299",NA,148.594207428455,150.895,120.53,184.37,139.835,158.16
"1300",NA,145.376652456354,142.73,124.54,208.08,134.7275,152.29
"1301",NA,154.035062944162,152.085,132.2,205.31,142.99,163.25
"1302",NA,160.846094986807,161.365,127.57,196.25,151.0325,171.305
"1303",NA,152.307740450989,151.94,121.25,195,138.9675,164.52
"1304",NA,133.075545023697,129.71,125,161.29,127.835,135.59
"1307",NA,41.3184068219634,37.01,0,121.82,16.0475,62.05
"1308",NA,31.0573796563134,33.68,-0.63,87.7,9.96,48.23
"1309",NA,60.5444155186386,60.54,22.96,94.05,50.41,71.23
"1310",NA,72.8160125556906,75.395,42.28,113.9,59.2,84.91
"1311",NA,81.2831301265823,81.26,59.34,113.81,73.595,88.46
"1312",NA,73.6647103504152,72.05,47.55,109.64,65.5625,79.94
"1313",NA,76.757740857056,75.36,57.43,111.22,69.63,83.95
"1314",NA,81.9790103322528,85.09,23.95,107.55,71.96,91.3
"1315",NA,67.9602219069815,69.28,16.77,112.7,46.31,90.69
"1316",NA,78.7432789708266,78.43,42.66,118.99,61.37,95.9325
"1317",NA,85.7188052290231,87.56,45.74,117.55,76.16,98.48
"1318",NA,82.9142027369488,82.49,63.92,114.11,75.72,89.59
"1319",NA,74.7386205148997,73,59.32,100.16,68.73,79.63
"1320",NA,74.5145605676635,74.93,56.19,91.41,70.58,78.46
"1321",NA,69.036793351576,70.67,38.51,86.86,65.89,75.545
"1322",NA,69.6983816670047,69.74,41.66,97.39,62.03,77.24
"1323",NA,82.3720123682076,83.01,50.1,108.47,76.1975,88.77
"1324",NA,95.3096847120843,93.99,65.15,135.58,88.2775,102.05
"1325",NA,89.2439418203933,83.89,66.28,126.98,78.88,99.82
"1326",NA,82.0310660310376,81.08,47.37,113.29,78.56,84.305
"1327",NA,58.378325218097,56.2,43.29,94.82,46.8125,66.3775
"1328",NA,73.3045345771649,68.52,46.39,114.58,50.89,97.74
"1329",NA,77.8251429730278,82.875,47.76,111.1,54.7125,96.9875
"1330",NA,69.6895769933049,54.675,47.79,182.19,50.1025,87.78
"1331",NA,67.3664310344828,56.06,47.8,157.87,50.37,83.0125
"1332",NA,67.8003488490011,63.27,46.81,107.47,49.69,89.91
"1333",NA,71.022490359245,63.515,47.99,139.11,50.09,92.83
"1334",NA,77.4848483619028,69.92,48.57,149.46,52.06,99.025
"1335",NA,81.82773954527,79.305,50.77,161.62,63.7,101.81
"1336",NA,80.1679125671975,79.71,55.1,116.31,73.55,86.93
"1337",NA,74.5811222729579,70.3,56.56,119.28,65.23,84.625
"1338",NA,66.8621740012168,66.5,59.73,96.32,65.3,67.71
"1339",NA,69.8307203733766,68.955,57.78,96.45,67.3,70.81
"1340",NA,68.6344885325756,70.58,28.29,103,67.88,74.3175
"1341",NA,56.5545747056435,54.315,29.06,108.95,37.61,72.43
"1342",NA,50.2330752055212,49.38,30.55,92.65,34.86,63.72
"1343",NA,42.6317784758816,38.9,31.3,82.62,36.19,44.5425
"1344",NA,59.9902759460282,64,33.21,93.08,44.21,74.55
"1345",NA,70.1371328742151,72.53,34.03,102.76,64,82.9
"1346",NA,73.889338474026,74.2,36.5,105.43,62.8,85.785
"1347",NA,79.9572098214286,81.845,42.9,106.67,67.5,93.17
"1348",NA,83.9815655438312,87.33,45.87,124.77,68.6575,98.5
"1349",NA,98.6990249594156,100.255,58.91,127.86,87.01,112.54
"1350",NA,116.657859172078,118.59,68.57,139.73,111.4975,124.86
"1351",NA,113.040989757631,113.86,77.17,138.63,101.33,125.45
"1352",NA,127.276271805274,126.845,89.28,151.69,122.29,133.61
"1353",NA,129.004259071559,128.41,118.01,148.39,124.86,132.0975
"1354",NA,128.396997362548,127.81,117.9,140.35,125.59,130.99
"1355",NA,132.218528516339,130.31,120.33,156.06,126.74,136.7275
"1356",NA,135.210775319667,131.08,117.65,193.03,124.9125,143.9375
"1357",NA,128.540210045662,126.59,114.47,186.49,121.995,132.715
"1358",NA,131.127671705387,121.12,112.4,199.71,116.98,139.79
"1359",NA,124.908702313312,123.88,116.05,146.28,120.78,128.14
"1360",NA,146.715021298174,145.365,126.31,182.94,136.2875,155.37
"1361",NA,142.872110817942,142.995,123.55,188.48,132.4125,151.03
"1362",NA,151.88257383538,149.73,130.34,194.43,140.08,159.99
"1363",NA,154.44867985794,154.95,123.61,188.29,145.44,163.4
"1364",NA,130.923125380402,127.89,111.04,186.92,121.1625,136.54
"1365",NA,119.997704319611,118.84,105.75,167.65,115.39,122.31
"1366",NA,115.73581322247,114.395,100.29,152.59,110.5,118.96
"1367",NA,112.544091462178,109.45,101.87,158.27,107.53,114
"1368",NA,108.070206917537,108.21,98.13,138.84,103.35,111.725
"1369",NA,104.086523017643,105.2,91.71,126.83,99.95,107.41
"1370",NA,97.2830676401988,96.15,88.79,110.56,93.99,100.74
"1371",NA,104.816528397566,104.38,91.77,122.81,102.8,106.35
